,date,tick,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2020-07-01,ADANIPORTS.NS,345.8999938964844,347.04998779296875,341.29998779296875,335.3562927246094,1202080.0,2.0,6.998999071375408,344.49128167986703,327.5284143650548,56.73629753713534,45.24101766308229,0.7727549004137986,329.94586588541665,299.4763674418131,28.6200008392334,11.137444631531341
0,2020-07-01,ASIANPAINT.NS,1698.0,1698.0,1680.050048828125,1632.017578125,1661296.0,2.0,14.895650448191873,1671.485898841407,1520.4763936390618,51.58443547768496,69.62251514692336,14.457376931841184,1592.1162109375,1599.2264851888021,28.6200008392334,11.137444631531341
0,2020-07-01,AXISBANK.NS,410.0,437.3500061035156,406.6499938964844,431.3704833984375,53380512.0,2.0,5.552775018623436,444.8720694727178,378.7144936376338,50.26018629679418,80.24863709096925,4.100875746274637,399.8976135253906,401.9818603515625,28.6200008392334,11.137444631531341
0,2020-07-01,BAJAJ-AUTO.NS,2838.050048828125,2872.0,2828.60009765625,2548.306396484375,525799.0,2.0,51.06885287933028,2611.86009444423,2377.3890266495196,56.463106246487605,89.60956955702443,14.36381407361917,2456.4798583984375,2318.314501953125,28.6200008392334,11.137444631531341
0,2020-07-01,BAJAJFINSV.NS,581.7999877929688,619.47998046875,580.2650146484375,615.8500366210938,17242340.0,2.0,29.928774459923602,645.1939579492383,470.93477129880864,55.916036275561765,108.63803516755097,8.078590439334802,524.5638783772787,496.58034464518227,28.6200008392334,11.137444631531341
0,2020-07-01,BAJFINANCE.NS,2831.0,2968.699951171875,2806.0,2911.386474609375,12704896.0,2.0,181.70482952764905,3103.5862567550766,2077.541746174611,56.36218357000431,112.00497980912499,5.142284675615221,2401.002901204427,2264.55126953125,28.6200008392334,11.137444631531341
0,2020-07-01,BHARTIARTL.NS,564.4033203125,564.4033203125,548.0111083984375,539.9324340820312,13894655.0,2.0,2.741106799076988,566.2677276323685,523.424111967241,52.867162983210356,-18.422358112607604,0.011794854537231073,545.996982828776,518.9770665486653,28.6200008392334,11.137444631531341
0,2020-07-01,BPCL.NS,188.5,191.6999969482422,187.0500030517578,147.12542724609375,10365588.0,2.0,3.7705950279919307,153.8922586869054,137.09218650352432,53.55160967255364,59.07119893999974,9.024930207530932,139.38763682047525,135.23685162862142,28.6200008392334,11.137444631531341
0,2020-07-01,BRITANNIA.NS,3605.0,3611.0,3536.0,3245.026123046875,586225.0,2.0,73.81770611179718,3263.674826836879,3026.0728538271833,62.200826553635096,124.43227462653273,38.01254162539557,3099.8247802734377,2897.2212849934895,28.6200008392334,11.137444631531341
0,2020-07-01,CIPLA.NS,642.5999755859375,642.5999755859375,621.0499877929688,605.4651489257812,4809651.0,2.0,5.924483274294516,637.1338680650795,602.2979434583581,55.31783120415577,-89.50313061827244,17.948724288055885,617.0302001953125,585.595122273763,28.6200008392334,11.137444631531341
0,2020-07-01,DIVISLAB.NS,2284.0,2284.0,2233.0,2166.466064453125,788450.0,2.0,-13.52566600500495,2378.428148990523,2166.814770931352,47.56982106299528,-170.87602229381935,2.09799788071515,2275.002644856771,2250.131170654297,28.6200008392334,11.137444631531341
0,2020-07-01,DRREDDY.NS,3965.199951171875,3966.0,3885.85009765625,3790.040771484375,623565.0,2.0,18.8459028130801,3995.517798504781,3788.0063470030314,53.104355522398635,-73.8918339644463,22.177756488507967,3859.586149088542,3768.827673339844,28.6200008392334,11.137444631531341
1,2020-07-02,ADANIPORTS.NS,346.0,349.6000061035156,344.8999938964844,338.2826232910156,1204040.0,3.0,6.672972730699485,344.55855981978834,328.20247228470384,57.6095545120297,66.86230668526424,1.0449672014878122,330.69532877604166,301.1346153259277,27.68000030517578,9.582069248314758
1,2020-07-02,ASIANPAINT.NS,1700.0,1704.0,1660.0999755859375,1630.5189208984375,2038399.0,3.0,14.82546993685014,1675.1319227257513,1521.92560901253,51.47966825360251,55.24840307083872,11.310686072575466,1598.1234781901042,1600.56796875,27.68000030517578,9.582069248314758
1,2020-07-02,AXISBANK.NS,441.0,441.5,421.29998779296875,421.36407470703125,50362770.0,3.0,5.654653303608143,445.28522076933905,381.1738246408172,49.05787880544442,85.67956512515978,2.996159664568431,401.91216939290365,403.0530268351237,27.68000030517578,9.582069248314758
1,2020-07-02,BAJAJ-AUTO.NS,2857.89990234375,2903.449951171875,2837.10009765625,2581.75146484375,754915.0,3.0,52.37153739494579,2620.2967645931203,2374.52052056313,57.658146837536165,105.49042770454268,16.316445291181683,2466.0918863932293,2330.6919209798175,27.68000030517578,9.582069248314758
1,2020-07-02,BAJAJFINSV.NS,619.9949951171875,626.7000122070312,611.2650146484375,617.7916870117188,15292260.0,3.0,30.611939962958786,651.6028093805121,475.0274274358942,56.08453397584105,116.12152903408223,9.523168715365433,529.5109995524089,499.38690083821615,27.68000030517578,9.582069248314758
1,2020-07-02,BAJFINANCE.NS,2980.0,3016.0,2925.0,2921.587646484375,11619734.0,3.0,182.425978024728,3134.1118180221874,2111.1989729934376,56.52580660104257,115.337685445715,6.93763922700038,2431.2758341471354,2276.787589518229,27.68000030517578,9.582069248314758
1,2020-07-02,BHARTIARTL.NS,554.3912963867188,556.55078125,547.323974609375,538.2937622070312,13795692.0,3.0,2.1703854549197104,565.522248248051,522.8201223574176,52.5620560413502,-37.45357024369705,0.29092639865538467,544.8531473795573,521.1795934041342,27.68000030517578,9.582069248314758
1,2020-07-02,BPCL.NS,191.47500610351562,195.6750030517578,189.375,148.42196655273438,13185606.0,3.0,3.6846594186588106,153.76406575500178,138.23630655945132,54.127368746827564,73.87743315529762,12.18054267788466,140.35002543131512,135.7564254760742,27.68000030517578,9.582069248314758
1,2020-07-02,BRITANNIA.NS,3553.0,3567.64990234375,3512.050048828125,3235.096923828125,422319.0,3.0,72.72796006558747,3274.172248427656,3023.331169541094,61.66858540411312,103.69121091428173,35.401659665481944,3112.247737630208,2912.448478190104,27.68000030517578,9.582069248314758
1,2020-07-02,CIPLA.NS,630.0,654.4500122070312,626.0,623.9061889648438,6169821.0,3.0,6.064873871447162,634.4019688384649,603.6443507416132,58.23561602560405,8.912105180379264,21.67400267078986,617.8524841308594,589.3356313069661,27.68000030517578,9.582069248314758
1,2020-07-02,DIVISLAB.NS,2100.0,2242.0,2090.050048828125,2123.35400390625,4392566.0,3.0,-21.947732870723485,2381.8707666568157,2141.671274358809,45.5476015142542,-250.7771318678962,15.47008394612914,2269.330118815104,2255.28090616862,27.68000030517578,9.582069248314758
1,2020-07-02,DRREDDY.NS,3946.0,3979.0,3901.0,3798.858154296875,742293.0,3.0,12.247328037421084,3999.594673933564,3776.337674699248,53.385286785681906,-67.44297688787088,22.918237885639936,3859.920442708333,3782.1597615559895,27.68000030517578,9.582069248314758
2,2020-07-06,ADANIPORTS.NS,365.1000061035156,366.0,356.1000061035156,350.6219787597656,3360559.0,0.0,7.810912194239506,350.03350110746675,326.18059191011133,60.894682002607986,186.78052033467546,12.107263467800216,333.68993021647134,304.82421747843426,27.940000534057617,9.943108167514996
2,2020-07-06,ASIANPAINT.NS,1708.949951171875,1712.0,1692.1500244140625,1652.176025390625,1236670.0,0.0,16.535151458542487,1685.766394111285,1524.0243529590275,52.937604966373804,83.04755696594539,13.288501349419779,1604.9654459635417,1604.7543619791666,27.940000534057617,9.943108167514996
2,2020-07-06,AXISBANK.NS,434.1499938964844,437.6000061035156,431.1000061035156,432.11724853515625,18424079.0,0.0,6.797217444090961,447.19695344540344,381.94042753604185,50.400275315012536,98.51125571624449,1.3323836543157663,407.4978332519531,405.51148223876953,27.940000534057617,9.943108167514996
2,2020-07-06,BAJAJ-AUTO.NS,2942.050048828125,2946.0,2884.0,2597.6669921875,1126381.0,0.0,56.72498875729116,2651.145683377594,2366.280488497406,57.75843887066796,120.71318759263261,19.401363523022084,2485.0827880859374,2353.3426432291667,27.940000534057617,9.943108167514996
2,2020-07-06,BAJAJFINSV.NS,621.7000122070312,632.0999755859375,616.0999755859375,627.3947143554688,12201780.0,0.0,31.117195093970963,663.9571518071435,480.21268461863787,56.85930906970855,107.04345033773268,11.2331291116732,541.4221822102865,504.70877532958986,27.940000534057617,9.943108167514996
